STATENAME,URL,WEBSITE,ACTIVITYESTIMATE,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,Influenza Surveillance,No Activity,Oct-04-2008,40,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,No Activity,Oct-11-2008,41,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,No Activity,Oct-18-2008,42,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,No Activity,Oct-25-2008,43,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,No Activity,Nov-01-2008,44,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,No Activity,Nov-08-2008,45,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,No Activity,Nov-15-2008,46,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,No Activity,Nov-22-2008,47,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,No Activity,Nov-29-2008,48,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,No Activity,Dec-06-2008,49,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,No Activity,Dec-13-2008,50,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Local Activity,Dec-20-2008,51,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Local Activity,Dec-27-2008,52,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Local Activity,Jan-03-2009,53,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Jan-10-2009,1,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Jan-17-2009,2,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Local Activity,Jan-24-2009,3,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Regional,Jan-31-2009,4,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Regional,Feb-07-2009,5,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Feb-14-2009,6,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Feb-21-2009,7,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Feb-28-2009,8,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Mar-07-2009,9,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Mar-14-2009,10,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Mar-21-2009,11,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Mar-28-2009,12,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Apr-04-2009,13,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Regional,Apr-11-2009,14,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Local Activity,Apr-18-2009,15,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Apr-25-2009,16,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,May-02-2009,17,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Regional,May-09-2009,18,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Regional,May-16-2009,19,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Regional,May-23-2009,20,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Regional,May-30-2009,21,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Regional,Jun-06-2009,22,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Local Activity,Jun-13-2009,23,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Local Activity,Jun-20-2009,24,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Local Activity,Jun-27-2009,25,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Jul-04-2009,26,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Jul-11-2009,27,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Jul-18-2009,28,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Jul-25-2009,29,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Aug-01-2009,30,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Aug-08-2009,31,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Local Activity,Aug-15-2009,32,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Regional,Aug-22-2009,33,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Aug-29-2009,34,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,No Activity,Oct-04-2008,40,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Oct-11-2008,41,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Oct-18-2008,42,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Oct-25-2008,43,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Nov-01-2008,44,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Nov-08-2008,45,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Nov-15-2008,46,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Nov-22-2008,47,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Nov-29-2008,48,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Dec-06-2008,49,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Dec-13-2008,50,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Dec-20-2008,51,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Dec-27-2008,52,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Jan-03-2009,53,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Jan-10-2009,1,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Jan-17-2009,2,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Jan-24-2009,3,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Jan-31-2009,4,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Feb-07-2009,5,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Regional,Feb-14-2009,6,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Regional,Feb-21-2009,7,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Widespread,Feb-28-2009,8,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Widespread,Mar-07-2009,9,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Widespread,Mar-14-2009,10,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Widespread,Mar-21-2009,11,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Mar-28-2009,12,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Regional,Apr-04-2009,13,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Local Activity,Apr-11-2009,14,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Local Activity,Apr-18-2009,15,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Local Activity,Apr-25-2009,16,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Regional,May-02-2009,17,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Regional,May-09-2009,18,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Local Activity,May-16-2009,19,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Local Activity,May-23-2009,20,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,May-30-2009,21,2008-09
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Jun-06-2009,22,2008-09
